Tabel 1. Gemiddeld aantal personenauto's per huishouden naar gemeente, 1 januari 2023;;
;;
Gemeentenaam;Gemeentecode;Personenauto's per huishouden (afgerond)
Groningen (gemeente);GM0014;0,6
Almere;GM0034;0,9
Stadskanaal;GM0037;1,1
Veendam;GM0047;1,1
Zeewolde;GM0050;1,2
Achtkarspelen;GM0059;1,2
Ameland;GM0060;1,0
Harlingen;GM0072;0,9
Heerenveen;GM0074;1,1
Leeuwarden;GM0080;0,8
Ooststellingwerf;GM0085;1,2
Opsterland;GM0086;1,3
Schiermonnikoog;GM0088;0,6
Smallingerland;GM0090;1,1
Terschelling;GM0093;0,9
Vlieland;GM0096;0,6
Weststellingwerf;GM0098;1,2
Assen;GM0106;1,0
Coevorden;GM0109;1,2
Emmen;GM0114;1,1
Hoogeveen;GM0118;1,1
Meppel;GM0119;1,0
Almelo;GM0141;1,0
Borne;GM0147;1,2
Dalfsen;GM0148;1,4
Deventer;GM0150;0,9
Enschede;GM0153;0,8
Haaksbergen;GM0158;1,3
Hardenberg;GM0160;1,3
Hellendoorn;GM0163;1,2
Hengelo (O.);GM0164;1,0
Kampen;GM0166;1,0
Losser;GM0168;1,3
Noordoostpolder;GM0171;1,1
Oldenzaal;GM0173;1,1
Ommen;GM0175;1,3
Raalte;GM0177;1,2
Staphorst;GM0180;1,4
Tubbergen;GM0183;1,4
Urk;GM0184;1,1
Wierden;GM0189;1,3
Zwolle;GM0193;0,8
Aalten;GM0197;1,2
Apeldoorn;GM0200;1,0
Arnhem;GM0202;0,8
Barneveld;GM0203;1,2
Beuningen;GM0209;1,2
Brummen;GM0213;1,2
Buren;GM0214;1,4
Culemborg;GM0216;1,0
Doesburg;GM0221;1,1
Doetinchem;GM0222;1,1
Druten;GM0225;1,2
Duiven;GM0226;1,2
Ede;GM0228;1,1
Elburg;GM0230;1,3
Epe;GM0232;1,2
Ermelo;GM0233;1,1
Harderwijk;GM0243;1,0
Hattem;GM0244;1,2
Heerde;GM0246;1,3
Heumen;GM0252;1,2
Lochem;GM0262;1,3
Maasdriel;GM0263;1,2
Nijkerk;GM0267;1,2
Nijmegen;GM0268;0,7
Oldebroek;GM0269;1,2
Putten;GM0273;1,2
Renkum;GM0274;1,1
Rheden;GM0275;1,0
Rozendaal;GM0277;1,4
Scherpenzeel;GM0279;1,2
Tiel;GM0281;1,0
Voorst;GM0285;1,2
Wageningen;GM0289;0,6
Westervoort;GM0293;1,1
Winterswijk;GM0294;1,1
Wijchen;GM0296;1,2
Zaltbommel;GM0297;1,2
Zevenaar;GM0299;1,1
Zutphen;GM0301;1,0
Nunspeet;GM0302;1,2
Dronten;GM0303;1,2
Amersfoort;GM0307;0,9
Baarn;GM0308;1,0
De Bilt;GM0310;1,0
Bunnik;GM0312;1,0
Bunschoten;GM0313;1,1
Eemnes;GM0317;1,2
Houten;GM0321;1,0
Leusden;GM0327;1,1
Lopik;GM0331;1,3
Montfoort;GM0335;1,1
Renswoude;GM0339;1,2
Rhenen;GM0340;1,2
Soest;GM0342;1,1
Utrecht (gemeente);GM0344;0,6
Veenendaal;GM0345;1,0
Woudenberg;GM0351;1,2
Wijk bij Duurstede;GM0352;1,2
IJsselstein;GM0353;1,0
Zeist;GM0355;0,9
Nieuwegein;GM0356;0,9
Aalsmeer;GM0358;1,1
Alkmaar;GM0361;0,9
Amstelveen;GM0362;0,8
Amsterdam;GM0363;0,4
Bergen (NH.);GM0373;1,1
Beverwijk;GM0375;1,0
Blaricum;GM0376;1,3
Bloemendaal;GM0377;1,2
Castricum;GM0383;1,1
Diemen;GM0384;0,6
Edam-Volendam;GM0385;1,0
Enkhuizen;GM0388;0,9
Haarlem;GM0392;0,7
Haarlemmermeer;GM0394;1,1
Heemskerk;GM0396;1,1
Heemstede;GM0397;1,0
Heiloo;GM0399;1,0
Den Helder;GM0400;0,9
Hilversum;GM0402;0,8
Hoorn;GM0405;0,9
Huizen;GM0406;1,1
Landsmeer;GM0415;1,1
Laren (NH.);GM0417;1,2
Medemblik;GM0420;1,2
Oostzaan;GM0431;1,1
Opmeer;GM0432;1,3
Ouder-Amstel;GM0437;0,9
Purmerend;GM0439;1,0
Schagen;GM0441;1,1
Texel;GM0448;1,0
Uitgeest;GM0450;1,1
Uithoorn;GM0451;1,1
Velsen;GM0453;1,0
Zandvoort;GM0473;0,9
Zaanstad;GM0479;0,9
Alblasserdam;GM0482;1,0
Alphen aan den Rijn;GM0484;1,0
Barendrecht;GM0489;1,1
Drechterland;GM0498;1,2
Capelle aan den IJssel;GM0502;0,9
Delft;GM0503;0,5
Dordrecht;GM0505;0,9
Gorinchem;GM0512;0,9
Gouda;GM0513;0,8
's-Gravenhage (gemeente);GM0518;0,6
Hardinxveld-Giessendam;GM0523;1,1
Hendrik-Ido-Ambacht;GM0531;1,1
Stede Broec;GM0532;1,0
Hillegom;GM0534;1,1
Katwijk;GM0537;0,9
Krimpen aan den IJssel;GM0542;1,0
Leiden;GM0546;0,5
Leiderdorp;GM0547;0,9
Lisse;GM0553;1,1
Maassluis;GM0556;1,0
Nieuwkoop;GM0569;1,2
Noordwijk;GM0575;1,0
Oegstgeest;GM0579;1,0
Oudewater;GM0589;1,1
Papendrecht;GM0590;1,1
Ridderkerk;GM0597;1,0
Rotterdam;GM0599;0,6
Rijswijk (ZH.);GM0603;0,8
Schiedam;GM0606;0,8
Sliedrecht;GM0610;1,0
Albrandswaard;GM0613;1,1
Vlaardingen;GM0622;0,9
Voorschoten;GM0626;1,0
Waddinxveen;GM0627;1,1
Wassenaar;GM0629;1,1
Woerden;GM0632;1,0
Zoetermeer;GM0637;1,0
Zoeterwoude;GM0638;1,1
Zwijndrecht;GM0642;1,0
Borsele;GM0654;1,3
Goes;GM0664;1,0
West Maas en Waal;GM0668;1,3
Hulst;GM0677;1,2
Kapelle;GM0678;1,2
Middelburg (Z.);GM0687;0,9
Reimerswaal;GM0703;1,2
Terneuzen;GM0715;1,1
Tholen;GM0716;1,2
Veere;GM0717;1,2
Vlissingen;GM0718;0,9
De Ronde Venen;GM0736;1,2
Tytsjerksteradiel;GM0737;1,2
Asten;GM0743;1,2
Baarle-Nassau;GM0744;1,3
Bergen op Zoom;GM0748;1,0
Best;GM0753;1,1
Boekel;GM0755;1,3
Boxtel;GM0757;1,1
Breda;GM0758;0,9
Deurne;GM0762;1,2
Pekela;GM0765;1,2
Dongen;GM0766;1,2
Eersel;GM0770;1,3
Eindhoven;GM0772;0,8
Etten-Leur;GM0777;1,1
Geertruidenberg;GM0779;1,1
Gilze en Rijen;GM0784;1,2
Goirle;GM0785;1,2
Helmond;GM0794;1,0
's-Hertogenbosch;GM0796;0,9
Heusden;GM0797;1,2
Hilvarenbeek;GM0798;1,3
Loon op Zand;GM0809;1,2
Nuenen, Gerwen en Nederwetten;GM0820;1,2
Oirschot;GM0823;1,3
Oisterwijk;GM0824;1,2
Oosterhout;GM0826;1,1
Oss;GM0828;1,1
Rucphen;GM0840;1,3
Sint-Michielsgestel;GM0845;1,2
Someren;GM0847;1,3
Son en Breugel;GM0848;1,3
Steenbergen;GM0851;1,2
Waterland;GM0852;1,0
Tilburg;GM0855;0,8
Valkenswaard;GM0858;1,1
Veldhoven;GM0861;1,1
Vught;GM0865;1,1
Waalre;GM0866;1,2
Waalwijk;GM0867;1,1
Woensdrecht;GM0873;1,2
Zundert;GM0879;1,3
Wormerland;GM0880;1,1
Landgraaf;GM0882;1,2
Beek (L.);GM0888;1,2
Beesel;GM0889;1,2
Bergen (L.);GM0893;1,4
Brunssum;GM0899;1,1
Gennep;GM0907;1,2
Heerlen;GM0917;0,9
Kerkrade;GM0928;1,0
Maastricht;GM0935;0,6
Meerssen;GM0938;1,2
Mook en Middelaar;GM0944;1,2
Nederweert;GM0946;1,3
Roermond;GM0957;1,0
Simpelveld;GM0965;1,2
Stein (L.);GM0971;1,2
Vaals;GM0981;0,8
Venlo;GM0983;1,0
Venray;GM0984;1,1
Voerendaal;GM0986;1,3
Weert;GM0988;1,1
Valkenburg aan de Geul;GM0994;1,1
Lelystad;GM0995;1,0
Horst aan de Maas;GM1507;1,2
Oude IJsselstreek;GM1509;1,2
Teylingen;GM1525;1,1
Utrechtse Heuvelrug;GM1581;1,1
Oost Gelre;GM1586;1,3
Koggenland;GM1598;1,2
Lansingerland;GM1621;1,2
Leudal;GM1640;1,3
Maasgouw;GM1641;1,3
Gemert-Bakel;GM1652;1,2
Halderberge;GM1655;1,2
Heeze-Leende;GM1658;1,3
Laarbeek;GM1659;1,3
Reusel-De Mierden;GM1667;1,3
Roerdalen;GM1669;1,3
Roosendaal;GM1674;1,0
Schouwen-Duiveland;GM1676;1,2
Aa en Hunze;GM1680;1,3
Borger-Odoorn;GM1681;1,3
De Wolden;GM1690;1,4
Noord-Beveland;GM1695;1,2
Wijdemeren;GM1696;1,2
Noordenveld;GM1699;1,2
Twenterand;GM1700;1,3
Westerveld;GM1701;1,3
Lingewaard;GM1705;1,2
Cranendonck;GM1706;1,3
Steenwijkerland;GM1708;1,2
Moerdijk;GM1709;1,2
Echt-Susteren;GM1711;1,3
Sluis;GM1714;1,1
Drimmelen;GM1719;1,2
Bernheze;GM1721;1,3
Alphen-Chaam;GM1723;1,4
Bergeijk;GM1724;1,3
Bladel;GM1728;1,3
Gulpen-Wittem;GM1729;1,2
Tynaarlo;GM1730;1,2
Midden-Drenthe;GM1731;1,3
Overbetuwe;GM1734;1,2
Hof van Twente;GM1735;1,3
Neder-Betuwe;GM1740;1,2
Rijssen-Holten;GM1742;1,2
Geldrop-Mierlo;GM1771;1,1
Olst-Wijhe;GM1773;1,3
Dinkelland;GM1774;1,3
Westland;GM1783;1,1
Midden-Delfland;GM1842;1,1
Berkelland;GM1859;1,3
Bronckhorst;GM1876;1,3
Sittard-Geleen;GM1883;1,0
Kaag en Braassem;GM1884;1,2
Dantumadiel;GM1891;1,2
Zuidplas;GM1892;1,2
Peel en Maas;GM1894;1,2
Oldambt;GM1895;1,1
Zwartewaterland;GM1896;1,2
Súdwest-Fryslân;GM1900;1,1
Bodegraven-Reeuwijk;GM1901;1,1
Eijsden-Margraten;GM1903;1,3
Stichtse Vecht;GM1904;1,1
Hollands Kroon;GM1911;1,2
Leidschendam-Voorburg;GM1916;0,8
Goeree-Overflakkee;GM1924;1,2
Pijnacker-Nootdorp;GM1926;1,1
Nissewaard;GM1930;1,0
Krimpenerwaard;GM1931;1,1
De Fryske Marren;GM1940;1,2
Gooise Meren;GM1942;1,0
Berg en Dal;GM1945;1,1
Meierijstad;GM1948;1,2
Waadhoeke;GM1949;1,2
Westerwolde;GM1950;1,3
Midden-Groningen;GM1952;1,1
Beekdaelen;GM1954;1,3
Montferland;GM1955;1,2
Altena;GM1959;1,2
West Betuwe;GM1960;1,3
Vijfheerenlanden;GM1961;1,1
Hoeksche Waard;GM1963;1,2
Het Hogeland;GM1966;1,1
Westerkwartier;GM1969;1,3
Noardeast-Fryslân;GM1970;1,2
Molenlanden;GM1978;1,3
Eemsdelta;GM1979;1,1
Dijk en Waard;GM1980;1,1
Land van Cuijk;GM1982;1,3
Maashorst;GM1991;1,2
Voorne aan Zee;GM1992;1,2
;;
Bron: CBS/RDW;;
